question,answer
Which of the following decreases in length during the contraction of a skeletal muscle fiber?,I band of the sarcomere
Which of the following statements is true regarding the pituitary gland -a) It is separated from the optic chiasma by the sella turcicab) It is situated deep in the sellac) The sphenoidal air cells lie inferior to itd) It develops from the base of the 3rd ventricle form the pars anteriore) It is supplied by a branch of the internal carotid artery,bce
"All of the following are Glycoproteinoses, EXCEPT",Sanfilippo A syndrome
Which one of the following form Blood Brain Barrier?,Astrocytes and endothelial cells
Recurrent laryngeal nerve is in close association with:,Inferior thyroid artery
Which of the following ganglion is associated with lacrimation?,Sphenopalatine
Which of the following hypnotic drugs facilitates the inhibitory actions of GABA but lacks anticonvulsant or muscle relaxing properties and has minimal effect on sleep architecture,Zaleplon
By which nerve is the hip joint supplied ?,Femoral
Rivastigmine is given in:,Alzheimer's disease
Features of neurogenic shock are -,|Peripheral resistence | cardiac output
Neural tube defect is an adverse effect of :,Valproate
Largest branch of veebral aery is,Posterior inferior cerebellar
Central dot sign is seen in,Caroli's disease
Management of medulloblastoma in 1.5 year old. What is not done in curative therapy?,Open surgery with leaving the tumour margins
A middle aged female repoed with dull diffuse progressive headache of 2 months duration associated with episodes of vomiting and blurred vision at times. Cough increases the headache.Likely patient has,Intracranial space occupying lesion
The MOST likely site of lesion in a patient with Wernicke's hemianopic pupil is:,Optic tract
Most fatal amoebic encephalitis is caused by ?,Naeglaria
Which of the following statements about Von-Hippel Lindau syndrome is true,craniospinal hemangioblastomas are common
Compared to the other antidepressant drugs miazapin has the distinct ability to act as an antagonist of:,Alpha 2 receptors
Nucleus ambiguus is composed of:,"9,10,11 cranial nerve nucleus"
Which of the following describes the reflex increase in hea rate with on atrial distension?,Bainbridge reflex
All of the following neurotransmitters are suspected of being involved in the pathophysiology of schizophrenia except -a) Prostaglandins E b) Norepinephrinec) Ascorbic acidd) 5-HT,ac
Which of the following amino acid contains free sulphydryl group,Cysteine
Most common site of primary spinal tumor,Intradural; Extramedullary
"A 40-year-old woman who is a known case of anxiety disorder and has prominent symptoms of frontal headache is being treated with a procedure in which the tension in the frontalis muscle is measured regularly. The readings are projected on to a computer screen, which patient can see. She is then taught to use mental techniques to decrease tension in this muscle. Which of the following treatment techniques does this example illustrate?",Biofeedback
Pramlintide is ?,Synthetic amylin analogue
who is the sceintist who got noble prize for his contribution for psychosurgery,egaz moniz
Neuroleptic malignant syndrome is characterized by,Labile hypeension
Coicosteroids suppress: September 2009,ACTH
Eicosanoids are derived from,Archidonic acid
Which one of the following lysosomal storage disorder is associated with mental retardation?,All of the above
Which animal is used to test pathogenicity in Cryptococcus neoformans?,Mice
Vidian nerve is-,Nerve of pterygoid canal
Ethambutol causes,Retro bulbar neuritis
Mechanism of action of dipyridamole -,Adenosine reuptake inhibition
Perfusion pressure is,Arterial–venous pressure difference
A study comparing the behavioral and developmental changes in a normal brain with a damaged brain is:,Neuropsychology
Which of the following is involved in transpo of large molecules from cytoplasm to the cell nucleus?(2018),Calthrin
The rate-limiting step in the synthesis of coisol is catalyzed by,Cholesterol side-chain cleavage enzyme
The number of major hormones produced by the anterior pituitary gland is,6
Frontal lobe function,Personality
Nucleus ambiguos is related to all cranial nerve except,VIII
Outer layer of the pars tensa called the cutaneous layer is lined by which of the following type of epithelium?,Stratified squamous epithelium
All of the following shows positive myoclonus except?,Hepatic encephalopathy
Which of the following transmits mandibular nerve?,Foramen ovale
"Regarding color vision, which of the following is TRUE?",Involves opponent color cells
"The scalp
A. Is attached by occipitalis muscle to the skull
B. Is attached by the frontalis muscle to the skull
C. Receives sensory innervation from the dorsal rami of first 3 cervical
nerves
D. Is supplied, in part, by the ophthalmic artery
E. Drains directly to the subcutaneous lymph nodes at the base of the
skull","A = True, B = False, C = True, D = True, E = True"
A 25 year-old-male presents with sudden painless loss of vision. The ocular and systemic examination is normal. What is probable diagnosis?,Optic neuritis
"Rupak, a 22-year-old, unmarried man is suffering from sudden onset of third person hallucination for the past 12 days. He is suspicious of his relatives and close friends and is having reduced appetite and improper sleep. He is probably suffering from: September 2010",Schizophrenia
Which of the following about syncope is false,None of the above
Relationship of neurovascular bundle from above downward in intercostal space -,Vein -Artery - Nerve
"All of the following factors increases the level of respiratory neuron activity in the medulla, EXCEPT:",Rise in Po2
Tarsal tunnel syndrome is caused with which ahritis:,Rheumatoid ahritis
Plasma membrane of cell is bounded to cytoskeleton by which of the following?,Ankyrin
Drug that is mostly used to decrease the suicidal tendencies in Manic Bipolar Disorder,Lithium
Horner's syndrome is characterized by all of the following except:,Cycloplegia
Synthesis of protein occurs on:,Poly ribosomes
Botulinum toxin acts by,Inhibits Ach release
A four year old boy Tinu has normal developmental milestones except delayed speech. He is interested to watch spinning objects like fan and the washing machine. His parents struggle to get him interested in other children at home. People often comment that he is disinterested and self centred. What will be your thought regarding his diagnosis?,Autism Spectrum Disorder
"A patient presented with numbness of little and ring finger, atrophy of hypothenar muscles. The nerve damaged will be?",Ulnar nerve before division into superficial and deep branches
Immediate stiffnes postmoem occurs in :,Cadaveric spasm
CSF glucose level is,2/3 plasma glucose
Lorenzo oil used in treatment of:,Adrenoleukodystrophy
Preventable cuses of mental retardation are -,Cretinism
Which nerve is near to mandibular third molar (medial aspect) and is likely to be damaged while removing 3rd molar?,Lingual nerve
All of the following muscles are supplied by accessory nerve except,Stylopharyngeus
Wernicke's aphasia is seen due to lesion in?,Superior temporal gyrus
Most common cause of intracranial haemorrhage is -,Intracerebral haemorrhage
Hypsarrythmia in a child is due to-,Myoclonic epilepsy
How much fraction of methyl mercury is absorbed from the Gut:,100%
Myoclonus in children is best treated by :,Sodium Valproate
Which of the following is most likely to produce a junctional scotoma,Meningioma
Chvostek’s sign is elicited by,Facial nerve stimulation by tapping over the parotid
True about third hea sound is-,Absent in MS
Not a content of sphenopalatine fossa,Mandibular nerve
Sleepwalking occur in which stage of sleep -,NREM stage 3 or 4
House Brackmann scale is for which nerve?,Facial nerve
Nerve supply of tip of nose,Ext nasal branch of ophthalmic division of
The nerve mediating pain of External hemorrhoids is:,Inferior rectal nerve
Myelin sheath in the central nervous system is formed by,Oligodendrocytes
Accessory meningeal artery enters cranial cavity through:,Foramen ovale
"In herpes simplex encephalitis, drugs used are, EXCEPT:",Amantadine
Branch of facial nerve in facial canal,All
Facial nerve palsy can be caused by -,All of the above
All of the following are neurologic channelopathies except -,Huntington's disease
Which cranial nerve supplies lateral rectus muscle?,Abducens
Hot flushes are experienced as a result of,Increased noradrenaline and decreased estrogen
In Alzheimer's disease (AD) which of the following is not seen:,Acalculia
25 years old gentleman has repeated thoughts that he has not locked his car door properly and frequently checks it while driving. He also repeatedly checks locks in his house. Diagnosis is,OCD
Most common false neurological sign is:,Diplopia
Umami taste is evoked by,Glutamic acid
Spontaneous CSF leak associated with all except,Increased intracranial tension
Stapedius nerve is a branch of ?,Facial nerve
"When a person stands suddenly from lying down posture, there is",Increased tone of capacitance vessels.
Drug indicated in case of subarachnoid hemorrhage:,Nimodipine
Threshold level for neuronal action potential-,-55 mv
All are true about Experimental trials except:,Can’t double blind in animal trials
"An 18-year-old male presented with acute onset a history of blurring of vision for the same duration on examination, the patient has quadriparesis with areflexia. Both the pupils are non-reactive.The most probable diagnosis is -",Botulism
"All of the following hereditary conditions predispose to CNS tumors, except -",Xeroderma pigmentosum
Which of the following hormone have a GENOMIC action?,All of these
When vagus is cut. the undesirable effect is-,Delayed gastric emptying
Which pa of the brain gets activated first to initiate skilled movements?,Neocoex.
Which among the following drugs produces a dose ceiling effect?,Buprenorphine
Stereoanesthesia is due to lesion of,Cerebral cortex
"Parietal branch of middle meningeal artery, which is closely related to cerebrum,  it's involvement results:",Contalateral deafness
Vestibulo ocular reflex is concerned with,Flocculonodular lobe
"The term ""id"" in the structural model of the mind refers to",Emotional pa of mind
"All are true about microscopic appearance of pilocytic astrocytoma, EXCEPT:",Decrease in the number of blood vessels
Middle meningeal aery passes through which foramen?,Foramen spinosum
Nerve supply of Glans penis is,Pudendal nerve
Craniospinal irradiation is employed in the treatment of:,Medulloblastoma
A 50-year-old woman undergoes neurosurgery for resection of a well-circumscribed intracranial neoplasm attached to the dura. The tumor compressed the underlying brain parenchyma without infiltration. Which of the following is the most likely diagnosis?,Meningioma
Somatosensory area I largest representation is for,Arm
"Horner syndrome causes all, except:",Mydriasis
Sixth cranial nerve lies at?,Pons
Earliest symptom showing improvement from classical triad of Wernicke's incephalopathv. to thiamine therapy ?,Ophthalmoplegia
The most common site of metastasis in neuroblastoma?,Lymph nodes
Root value of femoral nerve?,"Dorsal divisions of ventral primary rami of lumbar 2, 3, 4"
"Which of the following are also called as ""Ghost cell tumors""?",Primary CNS lymphoma
Which of the following hormone does not act through c-AMP:,GH
Not a feature of Vogt Kayanagi Harada Syndrome is,Norma IQ
Holt Gram syndrome is characterized by,ASD
A 40 years old patient who has been consuming cannabis regularly for last 20 years comes to you in withdrawal. What is the most frequently seen withdrawal symptom?,Irritability
"A patient presents to emergency with pinpoint pupil, salivation, lacrimation, tremors and red tears. Plasma cholinesterase level was 30% of normal. Most probable Diagnosis is:",Organophosphate poisoning
Propronolol is useful in all except -,Parkinsonian tremor
Patient presented with loss of sensations in the lateral three and a half fingers. Which of the following will be an additional finding in this patient?,Opponens paralysis
Which of the following is a suicidal enzyme,Cyclooxygenase
Which of the following statements concerning the lateral horn of the spinal cord is true,. It gives rise to preganglionic sympathetic fibers
Stereotactic radiosurgery is used in which of the following conditions?,All of the above
Cerberus is associated with development of:,Head
'Alien limb' is characteristically seen in:,Coico basal degeneration
Which of the following is not caused by over expression of a trinucleotide repeat?,Alzheimer's disease
The protein synthesis site of the cell body of neurons,Nissl bodies
Preventable causes of Mental Retardation are,Cretinism
"A 4-month-old child presents with excessive irritability & crying, unexplained hyperpyrexia, vomiting, difficulty feeding for last 15 days. On admission he has rigidity & visual inattentiveness; CT scan brain shows the following finding. What is the probable diagnosis?",Krabbe disease
The usefulness of the technique of transcutaneous electrical nerve stimulation is explained by which of the following?,Gate theory of pain
Neuronophagia is seen in -,Poliomyelitis
Which of the following structure passes through the triangular interval of the arm?,Radial nerve
The cyclical flexion and extension motions of a leg during walking result from activity at which level of the nervous system?,Spinal cord
Auerbachs plexus is present in the -,All of the above
Local anaesthetics act by-,Na channel inhibition inside gate
Neurotransmitter in striatal pathway is?,Dopamine
Patient says he hears music every time when someone touches his thumb. This is an example of,Reflex hallucination
DOC for migraine prophylaxis -,Propranolol
"A 70 kg old athlete was posted for surgery, Patient was administered succinylcholine due to unavailability of vecuronium. It was administered in intermittent dosing (total 640 mg). During recovery patient was not able to respire spontaneously & move limbs. What is the explanation ?",Phase 2 blockade produced by succinylcholine
A 6 day old newborn infant develops lectonuria seizures and hypoglycemia. The likely diagnosis is?,Aromatic amino aciduria
Which of the following is most dependent on vasovagal reflex?,Receptive relaxation
A 16 yr old boy is brought to the emergency room by ambulance after suffering a concussion during a football game. When he awoke he had difficulty expressing himself verbally but was able to understand and follow commands. His condition is most likely caused by damage to which of the following?,The temporal lobe
Characteristic features of a lesion in the lateral part of the medulla include all except -,Contralateral loss of proprioception to the body and limbs
Active agent of cannabis resemble which endogenous compound,Anandamine
Carotid aery stenosis in -vivo screening choice is,Doppler
Most common cause of subarachnoid hemorrhage is:-,Berry aneurysm
|A 65-year-old male complains of severe back pain and inability to move his left lower limb. Radiographic studies demonstrate the compression of nerve elements at the intervertebral foramen between vertebrae L5 and S1. Which structure is most likely responsible for this space-occupying lesion?,Nucleus pulposus
Which is true about central retinal aery?,Is an end aery
Which of the following areas of brain is most resistant to Neurofibrillary tangles in Aizeimer's disease -,Lateral Geniculate Body
"Cells affected in glaucomatous optic neuropathy are:(AIIMS May 2014, Nov 2013)",Ganglion cells
Which is not true about Fragile X syndrome ?,Pigmented nevi
"A farmer visiting a orchard gets unconscious, excessive salivation , constricted pupils and fasciculation of muscles, treatment staed with",Atropine
cGMP is second messenger for which of the following harmone,Both of the above
All are true except:,The infantile nucleus is completely formed by one year of age
"In the cross section of brain in the below pic, the tracts have been labeled, which of them are concerned with pain and temperature.",A
Cerebral perfusion pressure in children is:,40-60 mm Hg
The most common side effect of neuraxial opioid is:,Pruritus
What is the best method for confirming amyloidosis :-,Rectal biopsy
Post mortem staining gets fixed after -,6-7 hrs.
Malonate competetively inhibits-,Succinate dehydrogenase
SA node is located in ?,In crista terminalis
"An elderly man presents with features of dementia, ataxia, difficulty in downward gaze and a history of frequent falls. Likely diagnosis is:",Progressive supranuclear gaze palsy
Triad of normal-pressure hydrocephalus includes :,"Gait disorder, urinary incontinence, dementia"
In asymmetrical IUGR which organ is not affected?,Brain
Which one of the following is not true for an α-helix,Long stretches of left handed α-helices occur in proteins
"Paial claw hand is caused by lesion involving the:March 2010, March 2013 (a, b)",Ulnar nerve
The inferior hypogastric plexus is located -,On the side of rectum
Which of the following occurs along with glucose transport into a cell,Sodium symport
"In Kluver-Bucy animals, lesion is in:",Amygdala
Which of the following is not a poor prognostic factor in neuroblastoma?,Evidence of gangliocytic differentiation
Ocular hallmark of giant cell aeritis is,AION
Chorda tympani leaves skull through?,Petrotympanic fissure
Fluoxetine is a -,Serotonin uptake inhibitor
Inhibition of prolactin is caused by: (Repeat),Dopamine
HMP shunt occurs in all organs except ?,Brain
"A 6 year old boy has been complaining of a headache, ignoring to see the objects on the sides for four months. On examination he is not mentally retarded, his grades at school are good, and visual acuity is diminished in both the eyes. Visual charting showed significant field defect. CT scan of the head showed suprasellar mass with calcification. Which of the following is the most probable diagnosis?",Craniopharyngioma
Test for visual acuity in a baby of age <1 year is,Electro retinography
All are the features of Korsakoff's syndrome except :,Defective motor skill
"Dopamine acts on D2 receptors that have an inhibitory effect on prolactin secretion. Now if D2 receptors are blocked, which of the following effects will not be seen:",Visual disturbance
A 32 year old man presents to the emergency room with a severe headache. Nuchal rigidity is found on physical examination. Lumbar puncture demonstrates cerebrospinal fluid with markedly increased lymphocytes. Other cell populations are not increased. Which of the following agents is the most likely cause of his symptoms?,Herpes virus
"The virus, which spreads by both hematogenous and neural route is ?",Poliovirus
Extrapyramidal symptoms are seen with the use of:,Metoclopramide
Drug of choice for Herpes simplex encephalitis is:,Acyclovir
A 60-year old female presented with decreased movements for the last 2 years with rigidity and veical large square wave jerks. The most likely diagnosis is:,Progressive supranuclear palsy
The pacemaker potential is due to,Decrease in K+ permeability
Hea rate increase with one of the following?,Decreased stimulation of Baroreceptors
Left sided lateral gaze is affected in lesion of -,Right frontal lobe
"29 yrs male was brought to OPD by his wife giving history of aggressive behaviour with decreased social interaction and lack of self care. O/E grasp reflex present, CT scan would be showing lesion of which lobe ?",Frontal lobe
The blood pressure regulatory system that is labeled as a buffer system is,Baroreceptor
A patient requires mild cholinomimetic stimulation following surgery. Physostigmine and bethanechol in small doses have significantly different effects on which of the following ?,Neuromuscular junction
Multiple submucosal neuromas is most likely associated with -,Multiple endocrine neoplasia type 2B
Which of the following is associated with suicide risk?,Serotonin
An anterolaternal corodotomy relieving pain in right leg is effective because it interrupts the,Left lateral spinothalmic tract
Which of the following best responds to sympathectomy?,Hyperhydrosis
The earliest manifestations of increased intracranial pressure following head injury is :,Altered mental status
Painless burn in hand is seen in:,Syringomyelia
"A 46-year-old man sustains a spider bite on his upper eyelid, and an infection develops. The physician is very concerned about spread of the infection to the dural venous sinuses of the brain emissary veins. With which of the following dural venous sinuses does the superior ophthalmic vein directly communicate?",Cavernous sinus
"A 20-year-old woman complains of weakness that is worse in the afternoon, worse during prolonged activity, and improved by rest. When fatigued, the patient is unable to hold her head up or chew her food. She often notes diplopia when driving home from work. On physical examination, she has no loss of reflexes, sensation, or coordination. Which of the following is the likely pathogenesis of this disease?",Autoantibodies directed against the postsynaptic acetylcholine receptor causing neuromuscular transmission failure
Which of the following are supratentorial tumors?,Craniopharyngioma
Half-life of T3,2 day
Node of Ranvier is seen in,Axons
The thick filament is made up of Heavy chain of myosin Light chain of myosin Dystrophin Titin,1 and 2
Reaction occuring in conversion of norepinephrine to epinephrine?,Methylation
"A patient with a recent history of convulsions, presented to emergency in subconscious state with blood pressure 60/90 mm/Hg, bradycardia & slow gasping respiration. There is increased lacrimation, salivation & sweating. On examination there is pin point pupil. Which of the following poisoning should be suspected?",Organophosphorus
Pain and temperature are carried by,Lateral spinothalamic tract
Xantheurenic acid is produced in -,Tryptophan metabolism
Careless handling of a suspected case of cervical spine injury may result in:,Injury to the spinal cord leading to quadriparesis or quadriplegia
"A 15- year -female patient develops loss of appetite, cough followed by neck rigidity. CSF examination shows- glucose 40 mg%,protein 150mg%. chloride 52 meq/lit. with full of lymphocytes. The likely diaganosis is -",Tubercular meningitis
Most impoant cause of neurotic reaction is the excessive use of:,Regression
CSF on MRI appears:,Hypointense on T1 weighed image and hyperintense on T2 weighed image
"A patient presents with mental confusion, visual and auditory hallucinations, perceived changes of body shape, swelling of the tongue and a fear of impending death after he was treated for primary chancre of syphilis with an intramuscular injection. What is the likely diagnosis?",Hoigne Syndrome
All the following gives nerve supply to Parotid gland except,Facial nerve
Local anesthetics depress transmission first in,Group C fibers
The lateral pterygoid muscle attaches to which of the following?,Lateral surface of the lateral pterygoid plate.
D Tubocurarine acts by,Inhibiting nicotinic receptors at myoneural junction
What is the net amount of ATP's formed in aerobic glycolysis?,8
In a patient with cervical disc prolapse the management includes,Immediate surgery to prevent neurological complications
Enlargement of pituitary tumor after adrenalectomy is called as?,Nelson s syndrome
"A 69-year-old man comes to the physician because of the gradual onset of pain, tingling and hyperesthesia in the medial aspect of his right arm. Shortly thereafter, he develops erythema and then an outbreak of vesicles on the medial aspect of his right arm extending from his medial epicondyle to the wrist. After several days. the lesions crust over and eventually resolve. However, he is left with a residual “burning” pain in the same distribution as the lesions with occasional episodes of sharp.1O/1O pain that is provoked by touch. He uses ice packs to suppress the pain at night but it has persisted despite this.
The infectious agent responsible for this condition resides in which part of the neuraxis?",Dorsal root ganglion
All are structures passing between base of skull and superior constrictor except (Repeat Q 2008 ),Glossopharyngeal nerve
Area number for Motor area include,4 & 6
PANDAS are associated with which of the following infection?,Streptococcus
Final centre for horizontal movement of eye is:,Abducent nucleus
Ocular manifestations of neurofibromatosis,All the above.
Optic tract is related to :,Lat. Geniculate body
Drug used in alzheimer's disease are all EXCEPT:,Biperidin
. All of the following forms of porphyria are associated with peripheral neuropathy except,porphyria cutanea tarda
Anti U1 RNP is a feature of:,MCTD
"A 27-yrs-old woman has been feeling low for the past 2 weeks. She has little energy and has trouble concentrating. She states that 6 weeks ago she had been feeling very good, with lots of energy and no need for sleep. She states this pattern has been occurring for at least the past 3 years, though the episodes have never been so severe that she couldn't work. Most likely diagnosis is?",Cyclothymic disorder
UPSIT is used for testing:,Olfaction
N-myc gene amplification is seen in which of the following tumors?,Neuroblastoma
Minimum angle of resolution when visual acuity is 6/6,1 min of arc
First clinical feature of cerebello-pontine angle tumor is ?,Loss of corneal reflex
Homer's syndrome consists of-,miosis and ptosis
Complications of tuberular meningitis include all except-,Cortical venous thrombosis
"Lateral Medullary Syndrome involves all of the following cranial nerves, Except:",XII CN
A 70-year male utters same answers to all questions. He is suffering from,Organic brain disease
Neurotransmitter released in response to raised blood pressure:,Acetylcholine
"A patient presents to the doctor with diplopia when looking towards the right. On examination, he is unable to move his right eye laterally past the midline. Damage to which of these nerves would produce this clinical presentation?",Abducent nerve
The arrow marked structure is which part of corpus callosum:,Splenium
Cytosolic cytochrome C plays an impoant function in -,Apoptosis
Trigeminal nerve has how many nucleus?,4
"Several weeks after surgical dissection of her left axilla for the removal of lymph nodes for staging and treatment of her breast cancer, a 32-year-old woman was told by her general physician that she had ""winging"" of her left scapula when she pushed against resistance during her physical examination. She told the physician that she had also experienced difficulty lately in raising her right arm above her head when she was combing her hair. In a subsequent consult visit with her surgeon, she was told that a nerve was accidentally injured during the diagnostic surgical procedure and that this produced her scapular abnormality and inability to raise her arm normally. What was the origin of this nerve?",Roots of the brachial plexus
"In depression , there is deficiency of:",5-HT
Not the signs of accidental injury in a child: CMC (Vellore) 10,Subdural hematoma
In peripheral tissues which of the following contains substance P:,Nerve terminal
Post moem stiffening is called: March 2005,Rigor mois
Landau reflex is absent in:,All of the above.
Which of the following is an anti-apoptotic gene?,bcl-2
Rubrospinal tract influences -,Valuntary activity
Long term potentiation means,Enhancement of signal transmission
Cell matrix adhesion are mediated by,Integrins
Little finger of hand corresponds to which of the following dermatomes:,C8
Colour vision is with the help of:,Cones
Coagulative necrosis is commonly seen in all except:,Encephalitis
The process by which fusion of part of a cell membrane occurs is/are,Endocytosis
Which of the following are the slowly adapting mechan- oreceptors present in the skin that are very sensitive to perpendicular indentation?,Merkel discs
A 32-year-old woman is evaluated in the clinic for symptoms of polyuria and polydipsia. She has no significant past medical history and her only medication is the oral contraceptive pill.Her physical examination is entirely normal. Urine and serum biochemistry investigations are suggestive of central diabetes insipidus (DI). Which of the following is the most likely finding on magnetic resonance imaging (MRT) of the brain?,lack of hyperintense signals from the posterior pituitary
Which of the following hallucinations is pathognomonic of schizophrenia -,Auditory hallucinations giving running commentry
"After an injury to an axon, the subsequent degeneration of all axonal fibres distal to the injury, all fibres proximal to the injury are unaffected, this type of degeneration is known as:",Wallerian degeneration.
EEG rhythm recorded from the surface of the scalp during REM sleepa) Alphab) Betac) Deltad) Theta,ab
In submandibular gland excision all of the following nerves may be affected except,Glossopharyngeal nerve
"All of the following muscles of tongue are supplied by hypoglossal nerve, EXCEPT?",Palatoglossus
A patient tries to make a fist but the index and middle finger remain partially extended. The nerve most probably involved is,Median nerve
Large unilateral hypopigmented lesion on right trunk and arm in female. Which of the following best explain the etiology for it?,Neurogenic hypothesis
Succinylcholine is sho acting due to,Rapid hydrolysis
The parvocellular pathway from lateral geniculate nucleus to visual coex is most sensitive for the stimulus of,Color contrast
In leprosy neural involvement occurs in what percentage of patients,100%
Which of the following is not a specific somatoform disorders?.,Fibromyalgia
Bradykinin Causes -,Pain at the site of inflammation
All of the following statements are FALSE regarding multiple sclerosis except ?,Autoimmune disease mainly targetting MBP
Which of the following is NOT a branch of intracranial part of Internal carotid artery(103 - BDC- 3) 4th edition,Anterior communicating
"With help of the drug shown below, serotonin is synthesized from which of the following precursor amino acid?",Tryptophan
Thrombosis of the Superior branch of middle cerebral aery leads to:,Motor aphasia
Wernicke's encephalopathy occurs due to deficiency of,Vitamin B1
In decoicate animal which reflex is lost?,Hopping and placing reflex
"Three policemen, with difficulty, drag an agitated and very combative young man into an emergency room. Once there, he is restrained because he reacts with rage and tries to hit anyone who approaches him. When it is finally safe to approach him, the resident on call notices that the patient has very prominent veical nystagmus. Sholy thereafter, the patient has a generalized seizure. Which of the following substances of abuse is the most likely to produce this presentation?",Cocaine
"A 45 yr old female complains of progressive lower limb weakness, spasticity, urinary hesitancy. MRI shows intradural enhancing mass lesion. MOST likely diagnosis is:",Meningioma
A man has just received his fourth DUI citation. The judge orders an alcohol dependency program complete with a medication that makes him have nausea and vomiting if he drinks alcohol while taking the medication. The drug-induced illness is caused by the buildup of which one of the following?,Acetaldehyde
Middle part of jugular foramen transmits all of the following cranial nerves except:,Hypoglossal nerve
The only neuron in retina showing action potentials are,Ganglion cells
Whitnall's Tubercle is present in,Lateral wall of Orbit
"Golgi tendon apparatus conveys message to cns, depends upon",Tension in muscle
"All of the following are features of hallucinations, except:",Sensory organs are not involved
Serotonin is sexreted by,Platelets
Which of the following is an autosomal dominant disorder?,Hutington's chorea
Best advantage of doing transcranial Doppler ultrasound?,Detect vasopasm
who gave the concept of latent and manifest dreams,freud
General visceral fibres do not supply,Skeletal muscles
"An infant born at 35 weeks' gestation to a mother with no prenatal care is noted to be jittery and irritable, and is having difficulty feeding. You note coarse tremors on examination. The nurses repo a high-pitched cry and note several episodes of diarrhea and emesis. You suspect the infant is withdrawing from",Heroin
Which ofthe following statements is true about rabies virus -,RNA has a negative polarity
"Disease caused by virus of family of RNA paramyxovirus, with incubation period of 14-21 days with high secondary attack rate with most common complication of aseptic meningitis. Live attenuated vaccine is available for disease with strain JeryII Lynn strain. Name of disease is?",Mumps
"In narcolepsy, the polysomnographic recording typically shows which of the following patterns?",REM intrusion during inappropriate periods
Recurrent ischaemic events following thrombosis have been pathophysiologically linked to,Lipoprotein A
True about Atosiban:,is an oxytocin receptor antagonist
The clinical consequences of hypokalemia in skeletal muscle include muscle weakness and cramps. What is the level of Serum Potassium at which Paralysis Is a possible complication of hypokalemia?,Serum Potassium at 2.5 mEq/L
Which of the following is the classical CSF finding seen in TBM?,"Increased protein, decreased sugar, increased lymphocytes"
In which type of nerve fibers is conduction blocked maximally by pressure,A alpha
Which cranial nerve is affected the earliest in acoustic neuroma?,CN 5
Most common abdominal mass in children:,Neuroblastoma
The most common form of dissociative hysteria is:,Amnesia
"Which of the following nucleus in brain is common to IX, X & XI cranial nerves?",Nucleus ambiguus
Which of the following can prevent neural tube defects in pregnancy?,Folic acid
Malignant hyperthermia is caused due to which of the following mechanism?,Increased intracellular Ca
Postganglionic sympathetic fibres are,C
Most common cause for subdural hematoma,Tearing of cortical bridging veins
Which of the following drugs has spasmolytic activity and could also be used in the management of seizure caused by an overdose of a local anesthetic?,Diazepam
"A 47-year-old man with type II diabetes repos for his 6-month checkup. His doctor prescribes a daily 30-minute routine of walking at a brisk pace. During aerobic exercise, blood flow remains relatively constant to which of the following organs?",Brain
In which of the following structure of central nervous system the major autonomic reflex centers are found?,Medulla oblongata
Similar features between cerebral abscess and cerebral infarct -,Liquefactive necrosis
Most important receptor involved in chemotherapy induced vomiting is :,Serotonin 5–HT3 receptor
Hagemann factor is involved in: March 2009,Intrinsic pathway
"""Cruising"" is a developmental milestone attained at the age of:",10 months
Drug of choice for myoclonic seizures is:,Valproic acid
Nerve which loops around submandibular duct?,Lingual nerve
Which of the following is true regarding olazapine except-,Less epileptogenic action than phenothiazine
"A patient with parkinsonism suddenly presented with trembling, dizziness and upward reeling of eyes. It may be due to -",Oculygyric crisis
True about central nystagmus is,All of the above
Perifasicular atrophy of muscle fibres is seen in?,Dermatomyositis
"A 20 year old man complains of difficulty in reading the newspaper with his right eye, three weeks after sustaining a gun shot injury to his left eye. The most likely diagnosis is:",Sympathetic ophthalmia
The sensation of posterior aspect of tongue is by,Glossopharyngeal nerve
"A 56-year-old woman with diabetes, hypertension, and hyperlipidemia is found to have an A1C of 11 despite her best attempts at diet and faithfully taking her metformin and glyburide. The patient mentions that she has been unable to exercise much, partially due to severe fatigue and sleepiness in the daytime. On examination she is obese, has a full appearing posterior pharynx, clear lungs, a normal heart examination, and trace bilateral edema. Reflexes and skin are normal. Her TSH is 2.0 m/L (normal). The patient asks if there is anything else that can be done before adding another oral agent or switching to insulin. What is the best next step?",Arrange for a sleep study to check the patient for obstructive sleep apnea.
What will be reversible damage?,Fev1 increase by 12% by SABA
Thinnest pa of retina,Foveola
True about Lucio's phenomenon is-,Ischemic necrosis
"In which of the following state, a person is mute and akinetic, but can be awakened and even be ale?",Stupor
Which of the following sympathetic receptors acts as vasoconstriction and vasodilatation:,Alpha 1 and Beta 2
True abour Herpes virus,HSV 1 causes encephalitis
Remnant of rostral neuropore is -,Lamina terminalis
Excitatory Neurotransmitters are :,Glutamine
True about vagal nuclei are all except?,Spinal trigeminal nucleus is not a vagal nucleus
"""Reward pathway"" is associated with",Nucleus accumbens
Most common type of optic nerve glioma is –,Pilocytic
"A patient is trying to make a fist, but can only paially flex Index and Middle finger. Which nerve is damaged most probably:",Median
Glutathione peroxidase contains ?,Se
Old age pigment is?,Lipofuscin
Not true about pituitary gland ?,Coicotrophs are acidophilic
CSF pressure depends primarily on:,Rate of CSF absorption
Increased blood volume in tissue is known as -,Hypermia
Dissociated sensory loss is seen in,Syringomyelia
Subacute combined degeneration of cord is due to deficiency of:-,Vitamin B12
Why pyridostigmine is preferred in myasthenia gravis?,Longer acting than neostigmine
